SalesID,SalePrice
1222837,35217.37
1222839,35217.37
1222841,35217.37
1222843,35217.37
1222845,35217.37
1222847,35217.37
1222849,35217.37
1222850,35217.37
1222855,35217.37
1222863,35217.37
1222864,35217.37
1222865,35217.37
1222867,35217.37
1222879,35217.37
1222883,35217.37
1222905,35217.37
1222908,35217.37
1222910,35217.37
1222911,35217.37
1222917,35217.37
1222918,35217.37
1222919,35217.37
1222920,35217.37
1222926,35217.37
1222969,35217.37
1222973,35217.37
1222977,35217.37
1222978,35217.37
1222980,35217.37
1222981,35217.37
1222984,35217.37
1222990,35217.37
1222993,35217.37
1222997,35217.37
1222999,35217.37
1223003,35217.37
1223014,35217.37
1223039,35217.37
1223040,35217.37
1223041,35217.37
1223042,35217.37
1223043,35217.37
1223057,35217.37
1223058,35217.37
1223059,35217.37
1223060,35217.37
1223067,35217.37
1223069,35217.37
1223070,35217.37
1223072,35217.37
1223073,35217.37
1223074,35217.37
1223075,35217.37
1223076,35217.37
1223077,35217.37
1223078,35217.37
1223079,35217.37
1223080,35217.37
1223081,35217.37
1223082,35217.37
1223083,35217.37
1223084,35217.37
1223091,35217.37
1223094,35217.37
1223095,35217.37
1223099,35217.37
1223101,35217.37
1223115,35217.37
1223116,35217.37
1223117,35217.37
1223118,35217.37
1223121,35217.37
1223124,35217.37
1223129,35217.37
1223130,35217.37
1223141,35217.37
1223145,35217.37
1223147,35217.37
1223148,35217.37
1223149,35217.37
1223150,35217.37
1223151,35217.37
1223152,35217.37
1223154,35217.37
1223164,35217.37
1223165,35217.37
1223169,35217.37
1223176,35217.37
1223177,35217.37
1223179,35217.37
1223180,35217.37
1223181,35217.37
1223182,35217.37
1223184,35217.37
1223185,35217.37
1223186,35217.37
1223187,35217.37
1223192,35217.37
1223193,35217.37
1223195,35217.37
1223198,35217.37
1223209,35217.37
1223211,35217.37
1223212,35217.37
1223215,35217.37
1223217,35217.37
1223226,35217.37
1223227,35217.37
1223229,35217.37
1223244,35217.37
1223245,35217.37
1223246,35217.37
1223252,35217.37
1223269,35217.37
1223270,35217.37
1223271,35217.37
1223272,35217.37
1223273,35217.37
1223277,35217.37
1223279,35217.37
1223289,35217.37
1223293,35217.37
1223303,35217.37
1223306,35217.37
1223308,35217.37
1223309,35217.37
1223310,35217.37
1223311,35217.37
1223313,35217.37
1223318,35217.37
1223319,35217.37
1223320,35217.37
1223322,35217.37
1223328,35217.37
1223329,35217.37
1223333,35217.37
1223335,35217.37
1223338,35217.37
1223339,35217.37
1223341,35217.37
1223343,35217.37
1223344,35217.37
1223346,35217.37
1223356,35217.37
1223357,35217.37
1223358,35217.37
1223360,35217.37
1223361,35217.37
1223364,35217.37
1223371,35217.37
1223377,35217.37
1223382,35217.37
1223383,35217.37
1223384,35217.37
1223385,35217.37
1223400,35217.37
1223408,35217.37
1223411,35217.37
1223431,35217.37
1223436,35217.37
1223440,35217.37
1223451,35217.37
1223458,35217.37
1223459,35217.37
1223460,35217.37
1223468,35217.37
1223479,35217.37
1223483,35217.37
1223484,35217.37
1223485,35217.37
1223486,35217.37
1223488,35217.37
1223489,35217.37
1223492,35217.37
1223493,35217.37
1223495,35217.37
1223512,35217.37
1223518,35217.37
1223519,35217.37
1223520,35217.37
1223523,35217.37
1223524,35217.37
1223526,35217.37
1223535,35217.37
1223547,35217.37
1223548,35217.37
1223549,35217.37
1223550,35217.37
1223551,35217.37
1223558,35217.37
1223580,35217.37
1223592,35217.37
1223593,35217.37
1223595,35217.37
1223596,35217.37
1223597,35217.37
1223626,35217.37
1223627,35217.37
1223634,35217.37
1223635,35217.37
1223647,35217.37
1223648,35217.37
