673,2014-05-08 06:28:07,mobile
113,2014-05-08 06:34:38,mobile
618,2014-05-08 06:35:58,mobile
198,2014-05-08 06:55:46,mobile
206,2014-05-08 07:05:51,mobile
972,2014-05-08 07:15:05,web
829,2014-05-08 07:22:03,mobile
889,2014-05-08 07:27:39,mobile
825,2014-05-08 07:28:20,web
862,2014-05-08 07:33:11,mobile
749,2014-05-08 07:39:27,mobile
196,2014-05-08 07:43:00,web
227,2014-05-08 07:59:29,web
941,2014-05-08 08:13:42,web
134,2014-05-08 08:16:30,mobile
618,2014-05-08 08:17:57,web
176,2014-05-08 08:20:38,mobile
390,2014-05-08 08:21:59,mobile
938,2014-05-08 08:23:13,mobile
526,2014-05-08 08:26:07,mobile
188,2014-05-08 08:28:57,mobile
245,2014-05-08 08:32:23,mobile
587,2014-05-08 08:35:07,mobile
91,2014-05-08 08:46:25,mobile
540,2014-05-08 08:52:54,mobile
572,2014-05-08 08:52:54,mobile
374,2014-05-08 08:53:33,mobile
374,2014-05-08 08:53:51,mobile
664,2014-05-08 08:55:35,mobile
693,2014-05-08 08:55:52,web
81,2014-05-08 08:57:50,web
581,2014-05-08 09:02:17,mobile
82,2014-05-08 09:08:43,mobile
83,2014-05-08 09:12:48,mobile
57,2014-05-08 09:19:10,mobile
539,2014-05-08 09:24:00,web
230,2014-05-08 09:31:07,mobile
896,2014-05-08 09:51:03,mobile
760,2014-05-08 09:57:05,mobile
925,2014-05-08 10:06:35,mobile
404,2014-05-08 10:19:44,mobile
205,2014-05-08 10:20:35,web
416,2014-05-08 10:32:25,web
293,2014-05-08 10:37:51,mobile
993,2014-05-08 10:39:25,web
758,2014-05-08 10:43:59,mobile
921,2014-05-08 10:56:54,web
484,2014-05-08 11:00:54,mobile
52,2014-05-08 11:01:47,web
812,2014-05-08 11:06:28,mobile
407,2014-05-08 11:08:33,mobile
844,2014-05-08 11:21:40,web
882,2014-05-08 11:23:16,mobile
861,2014-05-08 11:25:58,mobile
921,2014-05-08 11:28:20,mobile
29,2014-05-08 11:31:22,mobile
355,2014-05-08 11:32:00,web
107,2014-05-08 11:42:34,mobile
2,2014-05-08 11:46:31,mobile
675,2014-05-08 11:56:44,mobile
548,2014-05-08 11:57:14,web
936,2014-05-08 11:59:53,mobile
571,2014-05-08 12:01:47,web
266,2014-05-08 12:02:00,mobile
279,2014-05-08 12:03:17,web
803,2014-05-08 12:07:12,mobile
877,2014-05-08 12:08:01,mobile
849,2014-05-08 12:08:12,mobile
112,2014-05-08 12:10:07,mobile
74,2014-05-08 12:10:22,mobile
573,2014-05-08 12:31:34,mobile
782,2014-05-08 12:36:45,mobile
909,2014-05-08 12:38:24,mobile
673,2014-05-08 12:40:49,mobile
515,2014-05-08 12:50:35,mobile
144,2014-05-08 13:01:58,web
173,2014-05-08 13:02:50,web
722,2014-05-08 13:05:39,mobile
546,2014-05-08 13:07:13,mobile
471,2014-05-08 13:23:46,web
76,2014-05-08 13:30:48,mobile
260,2014-05-08 13:39:14,mobile
552,2014-05-08 13:39:16,web
861,2014-05-08 13:40:31,web
593,2014-05-08 13:43:12,mobile
414,2014-05-08 13:46:58,mobile
104,2014-05-08 13:48:00,web
416,2014-05-08 13:48:53,web
135,2014-05-08 13:50:56,web
423,2014-05-08 13:51:15,mobile
118,2014-05-08 13:55:24,mobile
822,2014-05-08 13:58:44,mobile
177,2014-05-08 14:08:10,mobile
335,2014-05-08 14:09:04,web
108,2014-05-08 14:09:09,mobile
773,2014-05-08 14:10:31,mobile
267,2014-05-08 14:12:05,mobile
878,2014-05-08 14:13:27,mobile
170,2014-05-08 14:15:40,mobile
1,2014-05-08 14:16:52,mobile
912,2014-05-08 14:20:35,mobile
199,2014-05-08 14:28:08,web
869,2014-05-08 14:28:45,mobile
519,2014-05-08 14:30:20,mobile
363,2014-05-08 14:33:45,mobile
133,2014-05-08 14:35:04,web
361,2014-05-08 14:35:47,web
818,2014-05-08 14:38:33,mobile
185,2014-05-08 14:39:29,mobile
667,2014-05-08 14:44:17,web
231,2014-05-08 14:46:11,mobile
745,2014-05-08 14:51:38,mobile
774,2014-05-08 14:57:24,mobile
481,2014-05-08 15:07:15,mobile
58,2014-05-08 15:11:09,web
601,2014-05-08 15:13:49,mobile
360,2014-05-08 15:15:38,mobile
345,2014-05-08 15:16:53,mobile
188,2014-05-08 15:23:11,mobile
55,2014-05-08 15:25:03,mobile
333,2014-05-08 15:28:29,mobile
570,2014-05-08 15:34:55,mobile
127,2014-05-08 15:42:58,mobile
606,2014-05-08 15:47:57,web
101,2014-05-08 15:48:16,web
