amfAR Opioid and Health Indicator Database – Downloadable Dataset Dictionary,
Description,"Estimated number of acute (newly diagnosed) cases of hepatitis C in one year, per 100,000 population, calculated from CDC reported cases. CDC estimates the actual number of acute cases to be 13.9 times the number of reported cases. This estimate does not capture the total number of people living with both acute and chronic hepatitis C, and therefore underrepresents the actual number of cases. <a href='https://www.cdc.gov/hepatitis/hcv/hcvfaq.htm' target=_blank>According to the CDC,</a> acute hepatitis C leads to chronic infection in 75-85% of cases. Hepatitis C has been a nationally notifiable diseases since 1994, yet not all states report usable data and no HCV data are available at the county level, undermining the ability to surveil the epidemic and identify potential outbreaks."
Technical Notes,N/A
,
Indicator Name,Estimated Cases of Acute Hepatitis C
Name in Downloads,HCVacute
Short Description,Estimated number of acute (newly diagnosed) cases of hepatitis C in one year
Available Geography,State
Available Years,"2010, 2011, 2012, 2013, 2014, 2015"
Source,Centers for Disease Control and Prevention
Source Link,https://www.cdc.gov/hepatitis/statistics/
Description,"Estimated number of acute (newly diagnosed) cases of hepatitis C in one year, calculated from CDC reported cases. CDC estimates the actual number of acute cases to be 13.9 times the number of reported cases. This estimate does not capture the total number of people living with both acute and chronic hepatitis C, and therefore underrepresents the actual number of cases. <a href='https://www.cdc.gov/hepatitis/hcv/hcvfaq.htm' target=_blank>According to the CDC,</a> acute hepatitis C leads to chronic infection in 75-85% of cases. Hepatitis C has been a nationally notifiable diseases since 1994, yet not all states report usable data and no HCV data are available at the county level, undermining the ability to surveil the epidemic and identify potential outbreaks."
Technical Notes,N/A
,
Indicator Name,Facilities Providing All Medication Assisted Treatments
Name in Downloads,AMAT_fac
Short Description,"Number of substance abuse treatment facilities offering all three MAT services (Buprenorphine, Methadone, Naltrexone)"
Available Geography,"State, District, County"
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/substance-abuse-facilities-data-nssats
Description,"Number of substance abuse treatment facilities offering all three MAT services (Buprenorphine, Methadone, Naltrexone). Data are from The National Survey of Substance Abuse Treatment Facilities (N-SSATS) - an annual survey of U.S. facilities offering treatment services for alcohol and drug abuse. To qualify as providing all three MAT services, facilities must have declared that methadone, buprenorphine, and naltrexone are included in their programs. These include facilities coded with: At least one of: BM (Buprenorphin maintenance), BMW (Buprenorphine maintenance for a pre-determined time), BU (Buprenorphine used in treatment), BUM (Buprenorphine maintenance (<2016)), DB (Buprenorphine detoxification); At least one of: DM (Methadone detoxification), METH (Methadone), MM (Methadone maintenance), MMW (Methandone maintenance for pre-determined time); and at least one of: NXN (Naltrexone (oral)), VTRL (Extended-release, injectable naltrexone). Of note, N-SSATS facilities can also be coded as UBN (Prescribes/administers buprenorphine and/or naltrexone). Some facilities do report as UBN but do not individually report offering either buprenorphine or naltrexone. These facilities are included in substance abuse facilities offering any MAT, but are excluded here."
Technical Notes,N/A
,
Indicator Name,Facilities Providing All Medication Assisted Treatments and Accepting Medicaid
Name in Downloads,Med_AMAT_fac
Short Description,"Number of substance abuse treatment facilities offering all three MAT services (Buprenorphine, Methadone, Naltrexone) and accept Medicaid"
Available Geography,"State, District, County"
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/substance-abuse-facilities-data-nssats
Description,"Number of substance abuse treatment facilities offering all three MAT services (Buprenorphine, Methadone, Naltrexone) and accept Medicaid. Data are from The National Survey of Substance Abuse Treatment Facilities (N-SSATS) - an annual survey of U.S. facilities offering treatment services for alcohol and drug abuse. To qualify as providing all three MAT services, facilities must have declared that methadone, buprenorphine, and naltrexone are included in their programs. These include facilities coded with: At least one of: BM (Buprenorphin maintenance), BMW (Buprenorphine maintenance for a pre-determined time), BU (Buprenorphine used in treatment), BUM (Buprenorphine maintenance (<2016)), DB (Buprenorphine detoxification); At least one of: DM (Methadone detoxification), METH (Methadone), MM (Methadone maintenance), MMW (Methandone maintenance for pre-determined time); and at least one of: NXN (Naltrexone (oral)), VTRL (Extended-release, injectable naltrexone). Of note, N-SSATS facilities can also be coded as UBN (Prescribes/administers buprenorphine and/or naltrexone). Some facilities do report as UBN but do not individually report offering either buprenorphine or naltrexone. These facilities are included in substance abuse facilities offering any MAT, but are excluded here. Medicaid accepting facilities are identified from key code MD (Medicaid) in the N-SSATS data."
Technical Notes,N/A
,
Indicator Name,Facilities Providing Mental Health Services
Name in Downloads,MH_fac
Short Description,Number of facilities that provide mental health services
Available Geography,"State, District, County"
Available Years,"2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/mental-health-facilities-data-nmhss/reports
Description,"Number of facilities that provide mental health services. Data from The National Mental Health Services Survey (N-MHSS) - an annual survey of U.S. facilities offering mental health services facilities. Types of care include crisis intervention teams, psychiatric emergency walk-in services, or mental health treatment. Facilities include hospital inpatient, outpatient, residential, or partial hospitalization/day treatment."
Technical Notes,N/A
,
Indicator Name,Facilities Providing Mental Health Services and Accepting Medicaid
Name in Downloads,Med_MH_fac
Short Description,Number of facilities that provide mental health services and accept Medicaid
Available Geography,"State, District, County"
Available Years,"2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/mental-health-facilities-data-nmhss/reports
Description,"Number of facilities that provide mental health services. Data from The National Mental Health Services Survey (N-MHSS) - an annual survey of U.S. facilities offering mental health services facilities. Types of care include crisis intervention teams, psychiatric emergency walk-in services, or mental health treatment. Facilities include hospital inpatient, outpatient, residential, or partial hospitalization/day treatment. Medicaid accepting facilities are identified from key code MD (Medicaid) in the N-MHSS data."
Technical Notes,N/A
,
Indicator Name,Facilities Providing Some Medication Assisted Treatment
Name in Downloads,SMAT_fac
Short Description,Number of substance abuse treatment facilities offering any MAT
Available Geography,"State, District, County"
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/substance-abuse-facilities-data-nssats
Description,"Number of substance abuse treatment facilities offering any form of medication assisted treatment (MAT). Data are from The National Survey of Substance Abuse Treatment Facilities (N-SSATS) - an annual survey of U.S. facilities offering treatment services for alcohol and drug abuse. Treatment programs that offers at least one medication used in the treatment of substance abuse disorders (methadone, buprenorphine, or naltrexone) are included. These include facilities coded with any of the following: BM (Buprenorphin maintenance), BMW (Buprenorphine maintenance for a pre-determined time), BU (Buprenorphine used in treatment), BUM (Buprenorphine maintenance (<2016)), DB (Buprenorphine detoxification), DM (Methadone detoxification), METH (Methadone), MM (Methadone maintenance), MMW (Methandone maintenance for pre-determined time), NXN (Naltrexone (oral)), UBN (Prescribes/administers buprenorphine and/or naltrexone), VTRL (Extended-release, injectable naltrexone)."
Technical Notes,N/A
,
Indicator Name,Facilities Providing Some Medication Assisted Treatment and Accepting Medicaid
Name in Downloads,Med_SMAT_fac
Short Description,Number of substance abuse treatment facilities offering any MAT that accept Medicaid
Available Geography,"State, District, County"
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/substance-abuse-facilities-data-nssats
Description,"Number of substance abuse treatment facilities offering any form of medication assisted treatment (MAT) and accept Medicaid. Data are from The National Survey of Substance Abuse Treatment Facilities (N-SSATS) - an annual survey of U.S. facilities offering treatment services for alcohol and drug abuse. Treatment programs that offers at least one of the medication used in the treatment of substance abuse disorders (methadone, buprenorphine, or naltrexone) are included. These include facilities coded with any of the following: BM (Buprenorphin maintenance), BMW (Buprenorphine maintenance for a pre-determined time), BU (Buprenorphine used in treatment), BUM (Buprenorphine maintenance (<2016)), DB (Buprenorphine detoxification), DM (Methadone detoxification), METH (Methadone), MM (Methadone maintenance), MMW (Methandone maintenance for pre-determined time), NXN (Naltrexone (oral)), UBN (Prescribes/administers buprenorphine and/or naltrexone), VTRL (Extended-release, injectable naltrexone). Medicaid accepting facilities are identified from key code MD (Medicaid) in the N-SSATS data."
Technical Notes,N/A
,
Indicator Name,Facilities Providing Substance Abuse Services
Name in Downloads,SA_fac
Short Description,Number of facilities that provide substance abuse services.
Available Geography,"State, District, County"
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/substance-abuse-facilities-data-nssats
Description,"Number of facilities that provide substance abuse services. Data are from The National Survey of Substance Abuse Treatment Facilities (N-SSATS) - an annual survey of U.S. facilities offering treatment services for alcohol and drug abuse. Types of care include substance abuse treatment, detoxification, transitional housing or halfway houses, prescribing of buprenorphine and/or naltrexone, or SAMHSA-certified Opioid Treatment Programs. Facilities include hospital inpatient, residential, or outpatient."
Technical Notes,N/A
,
Indicator Name,Facilities Providing at Least Two Different Forms of Medication Assisted Treatment
Name in Downloads,TMAT_fac
Short Description,Number of substance abuse treatment facilities offering at least two forms of MAT
Available Geography,"State, District, County"
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/substance-abuse-facilities-data-nssats
Description,"Number of substance abuse treatment facilities offering at least two forms of medication assisted treatment (MAT). Data are from The National Survey of Substance Abuse Treatment Facilities (N-SSATS) - an annual survey of U.S. facilities offering treatment services for alcohol and drug abuse. Treatment programs that offer any two of the medications used in the treatment of substance abuse disorders (methadone, buprenorphine, or naltrexone) are included. These include facilities coded with at least two different services: Buprenorphine - BM (Buprenorphine maintenance), BMW (Buprenorphine maintenance for a pre-determined time), BU (Buprenorphine used in treatment), BUM (Buprenorphine maintenance (<2016)), DB (Buprenorphine detoxification); Methadone - DM (Methadone detoxification), METH (Methadone), MM (Methadone maintenance), MMW (Methandone maintenance for pre-determined time); and/or Naltrexone - NXN (Naltrexone (oral)), VTRL (Extended-release, injectable naltrexone). Facilities coded as UBN (Prescribes/administers buprenorphine and/or naltrexone) that do not individually report either buprenorphine or naltrexone are only included if the facility also offers one of the Methadone codes."
Technical Notes,N/A
,
Indicator Name,Facilities Providing at Least Two Different Forms of Medication Assisted Treatment and Accepting Medicaid
Name in Downloads,Med_TMAT_fac
Short Description,Number of substance abuse treatment facilities offering at least two forms of MAT and accept Medicaid
Available Geography,"State, District, County"
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/substance-abuse-facilities-data-nssats
Description,"Number of substance abuse treatment facilities offering at least two forms of medication assisted treatment (MAT) and accept Medicaid. Data are from The National Survey of Substance Abuse Treatment Facilities (N-SSATS) - an annual survey of U.S. facilities offering treatment services for alcohol and drug abuse. Treatment programs that offer any two of the medications used in the treatment of substance abuse disorders (methadone, buprenorphine, or naltrexone) are included. These include facilities coded with at least two different services: Buprenorphine - BM (Buprenorphine maintenance), BMW (Buprenorphine maintenance for a pre-determined time), BU (Buprenorphine used in treatment), BUM (Buprenorphine maintenance (<2016)), DB (Buprenorphine detoxification); Methadone - DM (Methadone detoxification), METH (Methadone), MM (Methadone maintenance), MMW (Methandone maintenance for pre-determined time); and/or Naltrexone - NXN (Naltrexone (oral)), VTRL (Extended-release, injectable naltrexone). Facilities coded as UBN (Prescribes/administers buprenorphine and/or naltrexone) that do not individually report either buprenorphine or naltrexone are only included if the facility also offers one of the Methadone codes. Medicaid accepting facilities are identified from key code MD (Medicaid) in the N-SSATS data."
Technical Notes,N/A
,
Indicator Name,"HIV Prevalence per 100,000"
Name in Downloads,HIVprevalence
Short Description,"Number of people living with diagnosed HIV per 100,000, among adults and adolescents 13 and older."
Available Geography,"State, District, County"
Available Years,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
Source,Centers for Disease Control and Prevention
Source Link,https://gis.cdc.gov/grasp/nchhstpatlas/main.html
Description,"Number of people living with diagnosed HIV per 100,000, among adults and adolescents 13 and older (children represent approximately 0.2% of new HIV infections in any year). All sub-national data representing zero to four (0-4) persons are suppressed."
Technical Notes,N/A
,
Indicator Name,HOPWA Allocations and Awards
Name in Downloads,HOPWA_funds
Short Description,Awards and allocations through the Housing Opportunities for Persons With AIDS program.
Available Geography,State
Available Years,2017
Source,Department of Housing and Urban Development
Source Link,https://www.hudexchange.info/grantees/allocations-awards/?params=%7B%22limit%22%3A20%2C%22COC%22%3Afalse%2C%22sort%22%3A%22%22%2C%22min%22%3A%22%22%2C%22years%22%3A%5B%5D%2C%22dir%22%3A%22%22%2C%22grantees%22%3A%5B%5D%2C%22state%22%3A%22%22%2C%22programs%22%3A%5B8%5D%2C%22max%22%3A%22%22%7D
Description,"The Housing Opportunities for Persons With AIDS (HOPWA) Program is the only Federal program dedicated to the housing needs of people living with HIV/AIDS. Under the HOPWA Program, HUD makes grants to local communities, States, and nonprofit organizations for projects that benefit low-income persons living with HIV/AIDS and their families."
Technical Notes,N/A
,
Indicator Name,"Hepatitis C Prevalence per 100,000"
Name in Downloads,HCVprevalence
Short Description,"Estimated number of persons living with Hepatitis C antibodies, per 100,000 population"
Available Geography,State
Available Years,2010
Source,"HepVu. Emory University, Rollins School of Public Health."
Source Link,https://hepvu.org
Description,"Estimated number of persons living with Hepatitis C antibodies, scaled by population. A positive Hepatitis C antibody test means that a person has ever been exposed to the virus, and includes the 15-20% of people infected with HCV that spontaneously clear the virus without treatment.  Since this measure includes both current and historic cases of HCV, it is likely to be overestimate the current prevalence. The latest available estimates are from 2010, and therefore do not reflect the tripling in acute HCV infections from 2010-2015.  Data not available for Puerto Rico."
Technical Notes,Not currently available for download.
,
Indicator Name,"Inpatient Stays Resulting from Opioids per 100,000"
Name in Downloads,op_rel_inpat
Short Description,"Rate of opioid-related inpatient stays per 100,000 population"
Available Geography,State
Available Years,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
Source,Agency for Healthcare Research and Quality.
Source Link,https://www.hcup-us.ahrq.gov
Description,"Rate of opioid-related inpatient stays per 100,000 population. Inpatient stays are all formally-admitted hospital stays, and include those admitted through the emergency department. Data are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), and the National Inpatient Sample (NIS). The NIS is based on the data collection efforts of data organizations in participating States that maintain statewide data systems and that have partnered with AHRQ. Data from non-Partner States are missing completely from the sampling frame, and data from Partner States are sometimes incomplete because of different State reporting requirements, different State restrictions, or other data omissions. The full list of ICD-10 codes included in the opioid-related stay category are described in greater detail in the data source."
Technical Notes,N/A
,
Indicator Name,Jurisdictions that have Completed a CDC Consultation
Name in Downloads,CDC_consult
Short Description,Jurisdictions with a submitted request for a CDC Consultation
Available Geography,"State, District, County"
Available Years,2017
Source,Centers for Disease Control and Prevention
Source Link,https://www.cdc.gov/hiv/risk/ssps-jurisdictions.html
Description,"Since 2016, federal funding from the Department of Health and Human Services (DHHS) can be used to support syringe exchange programs (SEPs). Before these funds may be used for SEPs, each jurisdiction must submit a request to the Centers for Disease Control and Prevention (CDC) demonstrating that they are experiencing or at high risk of experiencing an HIV or hepatitis outbreak related to drug use."
Technical Notes,"Counties are coded as 2 if a statewide consulation has been completed, 1 if a county consultation has been completed but not a statewide consultation, and 0 otherwise. States are coded as 0 if no jurisdictions have completed, 1 if some jurisdictions within the state have completed the consultation, and 2 if the state has completed. UPDATED WEEKLY."
,
Indicator Name,Law Enforcement Seizures of Fentanyl
Name in Downloads,fentanyl_seize
Short Description,The number of illicit drug seizures that were tested and confirmed to contain fentanyl.
Available Geography,State
Available Years,"2015, 2016"
Source,"DEA National Drug Threat Assessment (NDTA), 2016 and 2017"
Source Link,2016:https://www.dea.gov/resource-center/2016%20NDTA%20Summary.pdf | 2017:https://www.dea.gov/docs/DIR-040-17_2017-NDTA.pdf
Description,"The total number of drug seizures that were tested by forensic laboratories and reported to contain fentanyl to the Drug Enforcement Agency's (DEA) National Forensic Laboratory Information System (NFLIS) in a calendar year (currently only available for 2015 and 2016). The NFLIS collects drug chemistry analysis results, as well as other related information, from cases analyzed by state, local and federal forensic laboratories. These laboratories analyze substances secured in law enforcement operations across the country."
Technical Notes,N/A
,
Indicator Name,New HIV Diagnoses
Name in Downloads,HIVdiagnoses
Short Description,"Number of new HIV diagnoses in one year, among adults and adolescents 13 and older."
Available Geography,"State, District, County"
Available Years,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016"
Source,Centers for Disease Control and Prevention
Source Link,https://gis.cdc.gov/grasp/nchhstpatlas/main.html
Description,"Number of new HIV diagnoses in one year, among adults and adolescents 13 and older (children represent approximately 0.2% of new HIV infections in any year). All sub-national data representing zero to four (0-4) diagnoses are suppressed. Corresponding sub-national denominator population figures are also suppressed when the population represents fewer than 5 persons."
Technical Notes,N/A
,
Indicator Name,"New HIV Diagnoses per 100,000"
Name in Downloads,HIVincidence
Short Description,"Number of new HIV diagnoses per 100,000 in one year"
Available Geography,"State, District, County"
Available Years,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016"
Source,Centers for Disease Control and Prevention
Source Link,https://gis.cdc.gov/grasp/nchhstpatlas/main.html
Description,"Number of new HIV diagnoses per 100,000 in one year, among adults and adolescents 13 and older (children represent approximately 0.2% of new HIV infections in any year). All sub-national data representing zero to four (0-4) diagnoses are suppressed. Corresponding sub-national denominator population figures are also suppressed when the population represents fewer than 5 persons."
Technical Notes,N/A
,
Indicator Name,Number of 30 Days Supply of Opioids per Part D Enrollee
Name in Downloads,partD30dayrxrate
Short Description,"The number of standardized 30-day supplies of opioids reimbursed by Medicare Part D, per Medicare Part D enrollee."
Available Geography,"State, District, County"
Available Years,2015
Source,Centers for Medicare and Medicaid Services.
Source Link,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/Medicare-Provider-Charge-Data/PartD2015.html
Description,"The number of standardized 30-day supplies of opioids reimbursed by Medicare Part D, per Medicare Part D enrollee. A standardized 30-day supply is bottom coded at 1, and top coded at 12. This means efforts to reduce the number of doses per prescription are not well captured by this measure. However, as the state-level data do not contain the actual days' supply, the 30-day supply measure was used for consistency. State data on the number of prescriptions come from the Part D Prescriber Summary table, which detail the number of standardized 30-day supplies of each drug billed to Medicare per state. County data were aggregated from the Part D Prescriber Public Use File (PUF), which contains data at the provider-drug level. Providers were matched to their ZIP code by using their unique National Provider Identifier (NPI) in the July 2015 NPPES Data Dissemination. The July 2015 NPPES Data Dissemination was accessed via <a href='https://archive.org/' target=_blank>archive.org</a>, as it is not currently posted publicly but is available upon request. The standardized 30-day supply measure was also used at the county level, although days' supply, a more accurate measure of the volume prescribed, is available in the Prescriber PUF. Part D enrollment data comes from the <a href='https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/CMSProgramStatistics/Dashboard.html', target=_blank>Medicare Enrollment Dashboard.</a>"
Technical Notes,N/A
,
Indicator Name,Number of People Living with Diagnosed HIV
Name in Downloads,PLHIV
Short Description,"Number of people living with diagnosed HIV, among adults and adolescents 13 and older."
Available Geography,"State, District, County"
Available Years,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
Source,Centers for Disease Control and Prevention
Source Link,https://gis.cdc.gov/grasp/nchhstpatlas/main.html
Description,"Number of people living with diagnosed HIV, among adults and adolescents 13 and older (children represent approximately 0.2% of new HIV infections in any year). All sub-national data representing zero to four (0-4) persons are suppressed. Corresponding sub-national denominator population figures are also suppressed when the population represents fewer than 5 persons."
Technical Notes,N/A
,
Indicator Name,Number of People with Hepatitis C
Name in Downloads,HCVcases
Short Description,Estimated number of persons living with Hepatitis C antibodies
Available Geography,State
Available Years,2010
Source,"HepVu. Emory University, Rollins School of Public Health."
Source Link,https://hepvu.org
Description,"Estimated number of persons living with Hepatitis C antibodies. A positive Hepatitis C antibody test means that a person has ever been exposed to the virus, and includes the <a href='https://www.cdc.gov/hepatitis/hcv/hcvfaq.htm' target=_blank>15-25% of people infected with HCV that spontaneously clear</a> the virus without treatment.  Since this measure includes both current and historic cases of HCV, it is likely to be overestimate the current prevalence. The latest available estimates are from 2010, and therefore do not reflect the tripling in acute HCV infections from 2010-2015. Data not available for Puerto Rico."
Technical Notes,Not currently available for download.
,
Indicator Name,"Opioids prescribed per capita, in morphine mg equivalents (MME)"
Name in Downloads,mme_percap
Short Description,"Opioids prescribed per capita, in morphine mg equivalents (MME)"
Available Geography,"State, District, County"
Available Years,"2010, 2015"
Source,Centers for Disease Control and Prevention
Source Link,https://www.cdc.gov/mmwr/volumes/66/wr/mm6626a4.htm?s_cid=mm6626a4_w
Description,"The amount of opioids prescribed, in morphine milligram equivalents (MME) per population. MME measurement allows for direct comparison of different opioids by accounting for differing potencies. The average daily MME per prescription was 48.1 in 2015, and prescriptions for 90 MME per day and up are considered to be ""high-dose"". This measure is from a recently published Centers for Disease Control and Prevention (CDC) report entitled ""Vital Signs: Changes in Opioid Prescribing in the United States, 2006-2015"" which uses retail prescription data from QuintilesIMS. County-level data were shared privately by CDC."
Technical Notes,Not currently available for download.
,
Indicator Name,Percent Needing but Not Receiving Addiction Treatment
Name in Downloads,pctunmetneed
Short Description,Percent of total population needing but not receiving treatment for illicit drug use
Available Geography,"State, District, County"
Available Years,2016
Source,Substance Abuse and Mental Health Services Administration.
Source Link,https://www.samhsa.gov/data/population-data-nsduh
Description,"Percent of total population aged 12 or older reporting needing but not receiving treatment for illicit drug use in the past year divided by the percent of total population aged 12 or older reporting illicit drug dependence or abuse in the past year. Data are from the National Survey on Drug Use and Health (NSDUH). Data are available at the national, state, and substate region level, with data linked to counties using the <a href='https://www.samhsa.gov/data/sites/default/files/NSDUHsubstateRegionDefs2014/NSDUHsubstateRegionDefs2014.pdf' target=_blank>""2012-2014 National Survey on Drug Use and Health Substate Region Definitions</a>."" Sub-state data should be interpreted with caution. Data not available for Puerto Rico."
Technical Notes,N/A
,
Indicator Name,Percent of Drug Treatment Paid by Medicaid
Name in Downloads,pct_tx_med
