# Resources/readings to go into assignment
# Each resource must be associated with a repo (including a % repo if not an actual github repository).
# The second field is the (0-based) number of the associated column
# (resources are currently split into two columns)
# If the 4th field is in books.csv, the link from there will be substituted.
# The 5th field is optional; if present will be added after the descriptions, outside of the link.
# Commas are allowed in the 5th field ONLY

git-intro, 0, Git Remote, https://git-scm.com/book/en/v2/Git-Basics-Working-with-Remotes
git-intro, 1, Development Workflow, notes/workflow.md
git-intro, 0, Pair Programming, notes/pairing.md
git-intro, 0, Git Quick Reference, quick-reference/Git.pdf
git-intro, 0, Five Types of Git Workflows, https://buddy.works/blog/5-types-of-git-workflows
git-intro, 1, What is git?, https://git-scm.com/videos

unix, 0, Unix Tutorial, http://www.ee.surrey.ac.uk/Teaching/Unix/
unix, 1, Unix for Data Science, http://www.gregreda.com/2013/07/15/unix-commands-for-data-science/
unix, 0, Unix Philosophy, https://en.wikipedia.org/wiki/Unix_philosophy

python-intro, 0, Python code style, https://docs.python-guide.org/writing/style/#general-concepts
python-intro, 1, A Quick Tour of IPython Notebook, https://nbviewer.jupyter.org/github/jvns/pandas-cookbook/blob/master/cookbook/A%20quick%20tour%20of%20IPython%20Notebook.ipynb, Extra
python-intro, 0, A Taxonomy of Data Science, http://www.dataists.com/2010/09/a-taxonomy-of-data-science/, Extra

oop, 0, Classes and objects, http://www.greenteapress.com/thinkpython2/html/thinkpython2016.html

numpy, 0, Numpy Reading, notes/reading_material/numpy_reading.md

linear-algebra, 0, Linear Algebra Review and Reference, http://cs229.stanford.edu/section/cs229-linalg.pdf, Reference
linear-algebra, 0, Linear Algebra for Deep Learning, http://www.deeplearningbook.org/contents/linear_algebra.html, 2.1&ndash;2.7
linear-algebra, 0, Linear Algebra (precourse), https://learn-2.galvanize.com/cohorts/1984/blocks/16/content_files/units/linear-algebra1/overview.md

pandas, 0, 10 Minutes to Pandas, https://pandas.pydata.org/pandas-docs/stable/getting_started/10min.html
pandas, 0, Pandas Top 10, http://manishamde.github.io/blog/2013/03/07/pandas-and-python-top-10/
pandas, 0, EDA with Pandas, http://nbviewer.ipython.org/github/cs109/content/blob/master/labs/lab3/lab3full.ipynb, Extra
pandas, 0, Data Wranging with Pandas, http://nbviewer.ipython.org/github/cs109/content/blob/master/lec_04_wrangling.ipynb, Extra

matplotlib, 0, Matplotlib Tutorial 0, http://matplotlib.org/users/pyplot_tutorial.html, but avoid plt interface
matplotlib, 0, Matplotlib Tutorial 2, https://matplotlib.org/users/artists.html

pandas-eda-case-study, 0, What is EDA?, https://www.itl.nist.gov/div898/handbook/eda/section1/eda11.htm

